restaurant,menu_name,menu_category,weight_g,price_krw,calorie_kcal,protein_g,sugar_g,saturated_fat_g,sodium_mg,caffeine_mg,nutrition_basis,total_weight_g
교촌치킨,반반스틱[간장+레드],치킨,920,23000,275,27,3,2,354,,per_100g,
교촌치킨,반반순살[레드+허니],치킨,600,23000,365,24,8,3,430,,per_100g,
교촌치킨,살살후라이드,치킨,630,20000,325,19,1,1.3,470,,per_100g,
교촌치킨,파채소이살살,치킨,420,19000,205,9,11,0,530,,per_100g,
교촌치킨,간장콤보[S],치킨,460,12000,320,28,2,2.6,360,,per_100g,
교촌치킨,간장순살[S],치킨,350,12000,395,29,2,4.5,470,,per_100g,
교촌치킨,간장스틱[S],치킨,460,12000,270,27,2,2.3,399,,per_100g,
교촌치킨,레드콤보[S],치킨,460,13000,305,26,4,2.7,350,,per_100g,
교촌치킨,레드순살[S],치킨,350,13000,380,29,8,3.3,440,,per_100g,
교촌치킨,레드스틱[S],치킨,460,13000,280,27,4,1.8,309,,per_100g,
교촌치킨,허니순살[S],치킨,250,13000,345,19,7,1.8,420,,per_100g,
교촌치킨,바삭근위튀김(똥집튀김),사이드,,8000,365,21,1,2.1,660,,per_100g,
교촌치킨,오리지널찰도그(3ea),사이드,,6000,310,8,2.9,10,620,,per_100g,
교촌치킨,체다치즈찰도그(3ea),사이드,,6500,300,7,3.4,10,640,,per_100g,
교촌치킨,허니치룽지,사이드,,5000,300,17,2,1.4,630,,per_100g,
교촌치킨,레드치룽지,사이드,,5000,305,17,2,1.5,680,,per_100g,
교촌치킨,궁중닭갈비볶음밥,사이드,,4500,175,6,2,1.3,500,,per_100g,
교촌치킨,달걀듬뿍볶음밥,사이드,,4500,390,13,1,2.7,840,,per_100g,
교촌치킨,살살후라이드미니,사이드,210,7000,325,19,1,1.3,470,,per_100g,
교촌치킨,교촌X노티드 츄러스(5ea),사이드,,6000,415,5,9,5.2,330,,per_100g,
교촌치킨,꽈배기(3ea),사이드,,4000,375,5,17,3.7,510,,per_100g,
