restaurant,menu_name,menu_category,weight_g,price_krw,calorie_kcal,protein_g,sugar_g,saturated_fat_g,sodium_mg,caffeine_mg,nutrition_basis
파리바게뜨,고구마 케이크 (조각),,130,,,4,10,4.9,90,,
파리바게뜨,순수(秀)우유 콘 아이스크림,,,,285,4.4,22,10,55,,
파리바게뜨,뉴욕치즈타르트,,50,,195,4,8,8,130,,
파리바게뜨,벨지안 초코 젤라또 콘 아이스크림,,,,150,4,23,8,75,,
파리바게뜨,정통 에그타르트,,50,,135,2,5,4.6,110,,
파리바게뜨,햄치즈 오리지널 머핀,,150,,325,13,3,4,1110,,
파리바게뜨,에그 베이컨 토스트,,135,,350,10,9,7,530,,
파리바게뜨,크랜베리 치킨 브라운 샌드위치,,210,,490,14,11,3.4,690,,
파리바게뜨,브라운 디럭스 샌드위치,,210,,455,14,9,5,920,,
파리바게뜨,BELT샌드위치,,250,,440,16,9,3.3,870,,
파리바게뜨,단백가득 닭가슴살바 청양고추,,80,,142,18,3,2.6,590,,
파리바게뜨,크랩 샐러드랩,,210,,280,9,20,2.3,940,,
파리바게뜨,치킨커틀릿 샐러드랩,,230,,400,17,18,3.2,1000,,
파리바게뜨,3가지맛 굿모닝 샌드위치,,245,,560,13,15,5,740,,
파리바게뜨,불고기 에그 샐러드랩,,210,,425,14,11,4.7,1100,,
파리바게뜨,두쫀팝케이크,,260,,435,7,30,10,105,,
파리바게뜨,치즈 수플레 케이크,,340,,360,6,14,13,270,,
파리바게뜨,초코 청크스콘,,102,,405,7,18,13,380,,
파리바게뜨,[파란라벨]저당 닭가슴살 샌드위치,,220,,485,20,9,3.4,1010,,
파리바게뜨,시저치킨 멀티그레인 샌드위치,,195,,495,19,6,2.6,850,,
파리바게뜨,매콤할라 소시지빵,,112,,395,12,5,12,720,,
파리바게뜨,행복세트,,485,,1470,,,,,,
파리바게뜨,레몬 크림 마들렌,,240,,920,16,104,11.2,600,,
파리바게뜨,감자쫀떡(1개입),,38,,160,2,13,5,140,,
파리바게뜨,카레 크로켓,,51,,155,3,5,1.1,160,,
파리바게뜨,에그샐러드 크로켓,,51,,170,3,5,1.3,180,,
파리바게뜨,초코쫀득츄러스,,59,,245,2,12,5,150,,
파리바게뜨,[안녕K파바]제주 청보리빵,,480,,1440,24,152,2.4,640,,
파리바게뜨,[안녕K파바]제주 메밀 카스테라,,272,,760,16,96,4,240,,
