restaurant,menu_name,menu_category,weight_g,price_krw,calorie_kcal,protein_g,sugar_g,saturated_fat_g,sodium_mg,caffeine_mg,nutrition_basis,total_weight_g
미스터피자,하프앤하프 시그니처 L,피자,110,,243,11,4,4,419,,,
미스터피자,하프앤하프 크림치즈 L,피자,125,,273,10,6,6,440,,,
미스터피자,하프앤하프 에그타르트 L,피자,120,,269,10,7,5,404,,,
미스터피자,하프앤하프 치즈캡 L,피자,116,,254,12,3,5,478,,,
미스터피자,포테이토골드 골드 M,피자,106,,242,11,4,5,404,,,
미스터피자,포테이토골드 시그니처 M,피자,196,,457,22,6,9,751,,,
미스터피자,포테이토골드 크림치즈 M,피자,109,,251,11,5,5,389,,,
미스터피자,포테이토골드 에그타르트 M,피자,106,,248,10,6,5,360,,,
미스터피자,포테이토골드 골드 L,피자,132,,306,13,7,6,547,,,
미스터피자,포테이토골드 시그니처 L,피자,122,,287,13,5,5,507,,,
미스터피자,포테이토골드 크림치즈 L,피자,137,,317,13,8,6,528,,,
미스터피자,포테이토골드 에그타르트 L,피자,132,,313,12,9,6,492,,,
미스터피자,레전드 바질 마스카포네 골드M,피자,156,,525,21,13,13,655,,,
미스터피자,레전드 바질 마스카포네 시그니처 M,피자,141,,499,21,11,12,598,,,
미스터피자,레전드 바질 마스카포네 크림치즈 M,피자,163,,544,20,14,14,625,,,
미스터피자,레전드 바질 마스카포네 에그타르트 M,피자,156,,539,20,17,13,567,,,
미스터피자,레전드 바질 마스카포네 치즈캡 M,피자,153,,524,24,11,13,713,,,
미스터피자,레전드 바질 마스카포네 골드L,피자,93,,325,12,9,7,404,,,
미스터피자,레전드 바질 마스카포네 시그니처 L,피자,166,,613,23,15,12,729,,,
미스터피자,레전드 바질 마스카포네 크림치즈 L,피자,98,,337,11,10,8,385,,,
미스터피자,레전드 바질 마스카포네 에그타르트 L,피자,93,,333,11,11,7,349,,,
미스터피자,레전드 바질 마스카포네 치즈캡 L,피자,89,,318,13,7,7,423,,,
미스터피자,디아볼라 블라썸 골드 M,피자,178,,481,24,8,11,986,,,
미스터피자,디아볼라 블라썸 시그니처 M,피자,163,,455,23,6,10,929,,,
미스터피자,디아볼라 블라썸 크림치즈 M,피자,185,,500,23,9,12,956,,,
미스터피자,디아볼라 블라썸 에그타르트 M,피자,178,,494,22,12,11,897,,,
미스터피자,디아볼라 블라썸 치즈캡 M,피자,175,,479,26,6,11,1044,,,
미스터피자,디아볼라 블라썸 골드 L,피자,110,,300,14,6,6,630,,,
미스터피자,디아볼라 블라썸 시그니처 L,피자,99,,281,14,4,6,590,,,
미스터피자,디아볼라 블라썸 크림치즈 L,피자,114,,311,13,6,7,611,,,
미스터피자,디아볼라 블라썸 에그타르트 L,피자,110,,307,13,8,7,575,,,
미스터피자,디아볼라 블라썸 치즈캡 L,피자,106,,292,15,4,6,649,,,
미스터피자,치즈 후라이 씬크러스트 M,피자,145,,367,15,4,8,696,,,
미스터피자,치즈 후라이 오리진 M,피자,182,,434,19,6,7,932,,,
미스터피자,치즈 후라이 골드 M,피자,209,,503,21,9,9,1035,,,
미스터피자,치즈후라이 크림치즈 M,피자,216,,521,20,10,10,1005,,,
미스터피자,치즈후라이 에그타르트 M,피자,209,,516,20,12,10,947,,,
미스터피자,치즈 후라이 시그니처 M,피자,194,,477,21,6,8,978,,,
미스터피자,치즈 후라이 치즈캡 M,피자,206,,501,24,6,9,1093,,,
미스터피자,치즈 후라이 씬크러스트 L,피자,153,,404,15,4,11,829,,,
미스터피자,치즈 후라이 오리진 L,피자,108,,254,10,4,4,599,,,
미스터피자,치즈후라이 골드 L,피자,124,,296,12,5,6,663,,,
미스터피자,치즈후라이 크림치즈 L,피자,129,,307,11,6,7,644,,,
미스터피자,치즈후라이 에그타르트 L,피자,124,,303,10,7,6,608,,,
미스터피자,치즈 후라이 시그니처 L,피자,114,,277,11,4,5,623,,,
미스터피자,치즈 후라이 치즈캡 L,피자,120,,288,12,4,6,682,,,
미스터피자,콘 스노잉 씬크러스트 M,피자,104,,353,15,11,8,404,,,
미스터피자,콘 스노잉 오리진 M,피자,141,,419,19,13,7,640,,,
미스터피자,콘 스노잉 골드 M,피자,168,,488,21,15,10,743,,,
미스터피자,콘 스노잉 크림치즈 M,피자,175,,507,20,16,11,713,,,
미스터피자,콘 스노잉 에그타르트 M,피자,168,,501,20,18,10,655,,,
미스터피자,콘 스노잉 시그니처 M,피자,153,,462,21,13,8,686,,,
미스터피자,콘 스노잉 치즈캡 M,피자,165,,486,24,13,10,801,,,
미스터피자,콘 스노잉 씬크러스트 L,피자,122,,429,17,13,9,515,,,
미스터피자,콘 스노잉 오리진 L,피자,88,,262,11,8,4,428,,,
미스터피자,콘 스노잉 골드 L,피자,104,,305,13,9,5,491,,,
미스터피자,콘 스노잉 크림치즈 L,피자,109,,316,12,10,6,473,,,
미스터피자,콘 스노잉 에그타르트 L,피자,104,,312,12,11,5,436,,,
미스터피자,콘 스노잉 시그니처 L,피자,94,,286,12,8,4,452,,,
미스터피자,콘 스노잉 치즈캡 L,피자,100,,297,14,8,5,510,,,
미스터피자,스윗고구마 씬크러스트 S(1인피자),피자,118,,353,12,10,5,436,,,
미스터피자,스윗고구마 씬크러스트 M,피자,127,,371,12,12,6,475,,,
미스터피자,스윗고구마 오리진 M,피자,163,,424,15,12,6,515,,,
미스터피자,스윗고구마 골드 M,피자,190,,493,18,14,9,618,,,
미스터피자,스윗고구마 마크림치즈 M,피자,197,,511,17,16,10,589,,,
미스터피자,스윗고구마 에그타르트 M,피자,190,,506,16,18,9,530,,,
미스터피자,스윗고구마 시그니처 M,피자,175,,466,18,12,7,562,,,
미스터피자,스윗고구마 치즈캡 M,피자,187,,491,20,12,8,677,,,
미스터피자,스윗고구마 씬크러스트 L,피자,154,,447,16,11,8,354,,,
미스터피자,스윗고구마 오리진 L,피자,109,,274,10,7,4,356,,,
미스터피자,스윗고구마골드 L,피자,125,,316,12,8,5,420,,,
미스터피자,스윗고구마크림치즈 L,피자,130,,328,11,9,6,401,,,
미스터피자,스윗고구마에그타르트 L,피자,125,,324,11,11,6,365,,,
미스터피자,스윗고구마 시그니처 L,피자,115,,298,12,7,5,380,,,
미스터피자,스윗고구마 치즈캡 L,피자,121,,309,13,7,5,439,,,
미스터피자,불고기 씬크러스트 S(1인피자),피자,107,,291,15,7,6,438,,,
미스터피자,불고기 씬크러스트 M,피자,139,,410,19,8,7,704,,,
미스터피자,불고기 오리진 M,피자,129,,321,18,7,3,510,,,
미스터피자,불고기 골드 M,피자,156,,390,21,9,6,613,,,
미스터피자,불고기 크림치즈 M,피자,163,,409,20,10,7,583,,,
미스터피자,불고기 에그토트 M,피자,156,,403,20,12,6,525,,,
미스터피자,불고기 시그니처 M,피자,141,,364,21,7,5,556,,,
미스터피자,불고기 치즈캡 M,피자,153,,388,24,7,6,671,,,
미스터피자,불고기 씬크러스트 L,피자,176,,454,18,9,7,491,,,
미스터피자,불고기 오리진 L,피자,86,,199,8,4,2,334,,,
미스터피자,불고기 골드 L,피자,102,,242,10,6,3,398,,,
미스터피자,불고기 크림치즈 L,피자,107,,253,9,7,4,379,,,
미스터피자,불고기 에그토트 L,피자,102,,249,9,8,3,343,,,
미스터피자,불고기 시그니처 L,피자,92,,223,9,4,2,358,,,
미스터피자,불고기 치즈캡 L,피자,98,,234,11,4,3,417,,,
미스터피자,콤비네이션 씬크러스트 S(1인피자),피자,126,,314,16,5,6,536,,,
미스터피자,콤비네이션 씬크러스트 M,피자,125,,348,18,5,8,600,,,
미스터피자,콤비네이션 오리진 M,피자,162,,403,20,6,7,750,,,
미스터피자,콤비네이션 골드 M,피자,189,,473,23,8,10,853,,,
미스터피자,콤비네이션 크림치즈 M,피자,196,,491,22,9,11,823,,,
미스터피자,콤비네이션 에그타르트 M,피자,189,,486,21,12,10,765,,,
미스터피자,콤비네이션 시그니처 M,피자,173,,446,22,6,9,796,,,
미스터피자,콤비네이션 치즈캡 M,피자,185,,471,25,6,10,911,,,
미스터피자,콤비네이션 씬크러스트 L,피자,153,,413,17,10,8,605,,,
미스터피자,콤비네이션 오리진 L,피자,108,,254,11,6,3,472,,,
미스터피자,콤비네이션 골드 L,피자,124,,297,13,8,5,536,,,
미스터피자,콤비네이션 크림치즈 L,피자,129,,308,12,9,6,517,,,
미스터피자,콤비네이션 에그타르트 L,피자,124,,304,12,10,5,481,,,
미스터피자,콤비네이션 시그니처 L,피자,114,,278,12,6,4,496,,,
미스터피자,콤비네이션 치즈캡 L,피자,120,,289,14,6,5,555,,,
미스터피자,페퍼로니플러스 씬크러스트 S(1인피자),피자,94,,296,13,4,6,522,,,
미스터피자,페퍼로니플러스 씬크러스트 M,피자,141,,428,25,6,7,791,,,
미스터피자,페퍼로니플러스 오리진 M,피자,130,,358,18,6,4,582,,,
미스터피자,페퍼로니플러스 골드 M,피자,157,,427,21,8,7,685,,,
미스터피자,페퍼로니플러스 크림치즈 M,피자,164,,446,20,9,8,655,,,
미스터피자,페퍼로니플러스 에그타르트 M,피자,157,,441,19,12,8,597,,,
미스터피자,페퍼로니플러스 시그니처 M,피자,141,,401,21,6,6,628,,,
미스터피자,페퍼로니플러스 치즈캡 M,피자,153,,425,23,6,7,743,,,
미스터피자,페퍼로니플러스 씬크러스트 L,피자,148,,492,23,8,8,577,,,
미스터피자,페퍼로니플러스 오리진 L,피자,81,,212,10,4,2,362,,,
미스터피자,페퍼로니플러스 골드 L,피자,97,,254,12,5,3,426,,,
미스터피자,페퍼로니플러스 크림치즈 L,피자,102,,265,11,6,4,407,,,
미스터피자,페퍼로니플러스 에그타르트 L,피자,97,,261,11,8,4,371,,,
미스터피자,페퍼로니플러스 시그니처 L,피자,87,,235,11,4,3,386,,,
미스터피자,페퍼로니플러스 치즈캡 L,피자,93,,246,13,4,3,445,,,
미스터피자,포테이토 씬크러스트 M,피자,156,,397,18,5,6,550,,,
미스터피자,포테이토 오리진 M,피자,187,,426,19,7,5,726,,,
미스터피자,포테이토 크림치즈 M,피자,221,,513,21,11,8,799,,,
미스터피자,포테이토 에그타르트 M,피자,214,,508,20,13,8,740,,,
미스터피자,포테이토 치즈캡 M,피자,105,,246,12,4,4,443,,,
미스터피자,포테이토 씬크러스트 L,피자,167,,439,22,8,5,610,,,
미스터피자,포테이토 오리진 L,피자,115,,267,13,5,2,475,,,
미스터피자,포테이토 크림치즈 L,피자,136,,321,14,8,4,520,,,
미스터피자,포테이토 에그타르트 L,피자,131,,317,14,9,4,484,,,
미스터피자,포테이토 치즈캡 L,피자,127,,302,16,5,3,558,,,
미스터피자,베지테리안 씬크러스트 S(1인피자),피자,111,,250,13,4,4,347,,,
미스터피자,베지테리안 씬크러스트 M,피자,115,,284,15,4,5,461,,,
미스터피자,베지테리안 오리진 M,피자,152,,310,17,5,3,489,,,
미스터피자,베지테리안 골드 M,피자,179,,379,20,8,6,592,,,
미스터피자,베지테리안 크림치즈 M,피자,186,,397,19,9,7,562,,,
미스터피자,베지테리안 에그타르트 M,피자,179,,392,18,11,6,504,,,
미스터피자,베지테리안 시그니처 M,피자,164,,352,20,5,5,535,,,
미스터피자,베지테리안 치즈캡 M,피자,176,,377,22,5,6,650,,,
미스터피자,베지테리안 씬크러스트 L,피자,140,,328,16,4,5,396,,,
미스터피자,베지테리안 오리진 L,피자,101,,212,10,4,2,368,,,
미스터피자,베지테리안 골드 L,피자,118,,254,12,5,3,432,,,
미스터피자,베지테리안 크림치즈 L,피자,122,,266,11,6,4,413,,,
미스터피자,베지테리안 에그타르트 L,피자,118,,261,11,7,3,377,,,
미스터피자,베지테리안 시그니처 L,피자,107,,235,12,4,2,392,,,
미스터피자,베지테리안 치즈캡 L,피자,114,,246,13,4,3,451,,,
미스터피자,하와이안스페셜 씬크러스트 S(1인피자),피자,119,,286,10,7,5,427,,,
미스터피자,하와이안스페셜 씬크러스트 M,피자,134,,323,14,12,5,470,,,
미스터피자,하와이안스페셜 오리진 M,피자,159,,368,18,9,4,585,,,
