restaurant,menu_name,menu_category,weight_g,price_krw,calorie_kcal,protein_g,sugar_g,saturated_fat_g,sodium_mg,caffeine_mg,nutrition_basis,total_weight_g
도미노피자,랍스터 슈림프 오리지널 M,피자,150,,335,17,3,4.3,620,,per_serving,640
도미노피자,랍스터 슈림프 트리플 치즈 버스트(오) L,피자,150,,365,18,3,7,640,,per_serving,1185
도미노피자,랍스터 슈림프 고구마쥬 엣지(오) L,피자,150,,350,15,6,5,530,,per_serving,1093
도미노피자,랍스터 슈림프 고구마쥬 엣지(오) M,피자,150,,340,15,6,5,590,,per_serving,717
도미노피자,랍스터 슈림프 나폴리 L,피자,150,,340,16,3,5,610,,per_serving,795
도미노피자,랍스터 슈림프 나폴리 M,피자,150,,330,18,3,6,670,,per_serving,493
도미노피자,랍스터 슈림프 트리플 치즈 버스트(나) L,피자,150,,365,18,3,8,690,,per_serving,1002
도미노피자,랍스터 슈림프 씬 L,피자,150,,365,19,3,8,570,,per_serving,636
도미노피자,랍스터 슈림프 씬 M,피자,150,,345,17,3,8,690,,per_serving,432
도미노피자,랍스터 슈림프 하이 프로틴 도우(오) L,피자,150,,350,18,3,4.3,450,,per_serving,991
도미노피자,랍스터 슈림프 하이 프로틴 도우(오) M,피자,150,,320,17,3,4.3,500,,per_serving,644
도미노피자,랍스터 슈림프 더블 치즈 엣지 하이 프로틴 도우(오) L,피자,150,,365,19,3,7,550,,per_serving,1156
도미노피자,랍스터 슈림프 더블 치즈 엣지 하이 프로틴 도우(오) M,피자,150,,345,19,3,7,610,,per_serving,765
도미노피자,랍스터 슈림프 더블 치즈 엣지 오리지널 L,피자,150,,365,18,3,7,640,,per_serving,1143
도미노피자,랍스터 슈림프 더블 치즈 엣지 오리지널 M,피자,150,,360,18,3,7,720,,per_serving,761
도미노피자,리얼 불고기 Subzza 오리지널 S,피자,288,,730,35,10,12,1160,,per_total,
도미노피자,리얼불고기 고구마쥬 엣지(하) L,피자,150,,380,19,8,7,450,,per_serving,1029
도미노피자,리얼불고기 고구마쥬 엣지(하) M,피자,150,,370,19,9,6,420,,per_serving,581
도미노피자,리얼불고기 더블 크러스트 L,피자,150,,455,18,4,13,620,,per_serving,837
도미노피자,리얼불고기 더블 크러스트 M,피자,150,,445,19,6,12,610,,per_serving,451
도미노피자,리얼불고기 트리플 치즈 버스트(오/하) L,피자,150,,395,21,5,9,570,,per_serving,1121
도미노피자,리얼불고기 하이 프로틴 도우(나) L,피자,150,,375,20,4,8,540,,per_serving,701
도미노피자,리얼불고기 트리플 치즈 버스트(나/하) L,피자,150,,395,21,4,10,650,,per_serving,908
도미노피자,리얼불고기 고구마쥬 엣지(오) L,피자,150,,380,17,7,7,570,,per_serving,1025
도미노피자,리얼불고기 고구마쥬 엣지(오) M,피자,150,,390,18,9,7,560,,per_serving,576
도미노피자,리얼불고기 하이 프로틴 도우(오) L,피자,150,,380,20,5,6,470,,per_serving,914
도미노피자,리얼불고기 하이 프로틴 도우(오) M,피자,150,,370,22,6,5,430,,per_serving,504
도미노피자,리얼불고기 오리지널 L,피자,150,,380,19,4,6,600,,per_serving,910
도미노피자,리얼불고기 오리지널 M,피자,150,,390,20,5,6,600,,per_serving,499
도미노피자,리얼불고기 나폴리 L,피자,150,,375,19,5,8,660,,per_serving,716
도미노피자,리얼불고기 나폴리 M,피자,150,,395,20,6,8,690,,per_serving,345
도미노피자,리얼불고기 씬 L,피자,150,,410,20,7,11,680,,per_serving,585
도미노피자,리얼불고기 씬 M,피자,150,,430,21,7,11,640,,per_serving,289
도미노피자,리얼불고기 트리플 치즈 버스트(오) L,피자,150,,395,20,4,9,680,,per_serving,1117
도미노피자,리얼불고기 트리플 치즈 버스트(나) L,피자,150,,395,20,5,10,740,,per_serving,923
도미노피자,리얼불고기 더블치즈엣지 오리지널 L,피자,150,,395,20,4,9,690,,per_serving,1075
도미노피자,리얼불고기 더블치즈엣지 오리지널 M,피자,150,,410,22,5,9,720,,per_serving,620
도미노피자,리얼불고기 더블치즈엣지 하이 프로틴 도우(오) L,피자,150,,395,21,4,8,580,,per_serving,1079
도미노피자,리얼불고기 더블치즈엣지 하이 프로틴 도우(오) M,피자,150,,395,23,5,8,580,,per_serving,625
도미노피자,무진장 슈림프 스테이크 트리플 치즈 버스트(오/하) L,피자,150,,370,20,6,7,720,,per_serving,1358
